Chapter,Number of Duas,Arabic,Transliteration,Translation,Reference
Uncategorized,N/A,لا إلهَ إلاّ اللّهُ وَاللّهُ أَكْبَـر لا إلهَ إلاّ اللّهُ وحْـدَهُ لا إلهَ إلاّ اللّهُ وحْـدَهُ لا شَريكَ لهُ لا إلهَ إلاّ اللّهُ لهُ المُلكُ ولهُ الحَمْد لا إلهَ إلاّ اللّهُ وَلا حَـوْلَ وَلا قُـوَّةَ إِلاّ بِالله,Lā ilāha illallāhwallāhu Akbar. lā ilāha illallāhu waḥdah. lā ilāha illallāhwaḥdahu lā sharīka lah. lā ilāha illallāhlahu ‘l-mulku wa lahu ‘l-ḥamd. lā ilāha illallāhwa lā ḥawla wa lā quwwata illā billāh.,"There is none worthy of worship but Allah, Allah is the Most Great. None has the right to be worshipped but Allah alone. None has the right to be worshipped but Allah alone, Who has no partner. There is none worthy of worship but Allah, His is the dominion and His is the praise. There is none worthy of worship but Allah, there is no power and no might but by Allah.","Reference:At-Tirmidhi and Ibn Majah. See also Al-Albani, Sahih At-Tirmidhi 3/152 and Sahih Ibn Majah 2/317.Hisnul Muslim 152"
Chapter 52: Instruction for the one nearing death,1 du'a,'لا إله إلا الله' دخل الجنة,Lā ilāha illallāh,"Whoever dies with the last words (whose meaning is): ""There is none worthy of worship but Allah"" will enter Paradise.","Reference:Abu Dawud 3/190. See also Al-Albani, Sahihul-Jami' As-Saghir 5/432.Hisnul Muslim 153"
Chapter 53: For one afflicted by a calamity,1 du'a,إِنّا للهِ وَإِنَا إِلَـيْهِ راجِعـون  اللهُـمِّ اْجُـرْني في مُصـيبَتي وَاخْلُـفْ لي خَيْـراً مِنْـها,Innā lillāhi wa innā ilayhi rāji`ūn. Allāhumma-jurni fī muṣībatīwa 'khluf lī khayran minhā.,We are from Allah and unto Him we return. O Allah take me out of my plight and bring to me after it something better.,Reference:Muslim 2/632.Hisnul Muslim 154
Chapter 54: When closing the eyes of the deceased,1 du'a,اللهُـمِّ اغْفِـرْ لِـفلان (باسـمه) وَارْفَعْ دَرَجَتَـهُ في المَهْـدِييـن  وَاخْـلُفْـهُ في عَقِـبِهِ في الغابِـرين وَاغْفِـرْ لَنـا وَلَـهُ يا رَبَّ العـالَمـين وَافْسَـحْ لَهُ في قَبْـرِهِ وَنَـوِّرْ لَهُ فيه,Allāhumma’ghfir li (name of the person) warfa` darajatahu fi ‘l-mahdiyyīn. wakhlufhu fī `aqibihi fi ‘l-ghābirīn. wagh’fir-lanā wa lahu yā Rabba ‘l-`ālamīn. wafsaḥ lahu fī qabrihi wa nawwir lahu fīh.,"O Allah, forgive [name of the person] and elevate his station among those who are guided. Send him along the path of those who came before, and forgive us and him, O Lord of the worlds. Enlarge for him his grave, and shed light upon him in it.",Reference:Muslim 2/634.Hisnul Muslim 155
Chapter 55: For the deceased at the funeral prayer,4 du'as,اللهُـمِّ اغْفِـرْ لَهُ وَارْحَمْـه  وَعافِهِ وَاعْفُ عَنْـه  وَأَكْـرِمْ نُزُلَـه  وَوَسِّـعْ مُدْخَـلَه  وَاغْسِلْـهُ بِالْمـاءِ وَالثَّـلْجِ وَالْبَـرَدْ  وَنَقِّـهِ مِنَ الْخطـايا كَما نَـقّيْتَ الـثَّوْبَ الأَبْيَـضَ مِنَ الدَّنَـسْ  وَأَبْـدِلْهُ داراً خَـيْراً مِنْ دارِه  وَأَهْلاً خَـيْراً مِنْ أَهْلِـه  وَزَوْجَـاً خَـيْراً مِنْ زَوْجِه  وَأَدْخِـلْهُ الْجَـنَّة  وَأَعِـذْهُ مِنْ عَذابِ القَـبْر [وَعَذابِ النّـار],"Allāhumma’ghfir lahu warḥamh. wa `āfihi, wa`fu `anh. wa akrim nuzulah. wa wassi` mudkhalah. wagh’silhu bi ‘lmā'i wath-thalji walbarad. wa naqqihi mina ‘l-khaṭāyākamā naqqaytath-thawba ‘l-abyaḍa minad-danas. wa abdilhu dāran khayran min dārih. wa ahlan khayran min ahlih. wa zawjan khayran min zawjih. wa adkhilhu ‘l-jannah. wa a`idhhu min `adhābi ‘l-qabri [wa `adhābin-nār].","O Allah, forgive him and have mercy on him, and give him strength and pardon him. Be generous to him, and cause his entrance to be wide, and wash him with water and snow and hail. Cleanse him of his transgressions as white cloth is cleansed of stains. Give him an abode better than his home, and a family better than his family, and a wife better than his wife. Take him into Paradise, and protect him from the punishment of the grave [and from the punishment of Hell-fire].",Reference:Muslim 2/663.Hisnul Muslim 156
Uncategorized,N/A,اللهُـمِّ اغْفِـرْ لِحَيِّـنا وَمَيِّتِـنا وَشـاهِدِنا وَغائِبِـنا  وَصَغيـرِنا وَكَبيـرِنا  وَذَكَـرِنا وَأُنْثـانا . اللهُـمِّ مَنْ أَحْيَيْـتَهُ مِنّا فَأَحْيِـهِ عَلى الإِسْلام  وَمَنْ تَوَفَّـيْتَهُ مِنّا فَتَوَفَّـهُ عَلى الإِيـمان  اللهُـمِّ لا تَحْـرِمْنـا أَجْـرَه  وَلا تُضِـلَّنا بَعْـدَه,"Allāhumma’ghfir liḥayyinā, wa mayyitinā. wa shāhidinā, wa ghā'ibinā. wa ṣaghīrinā wa kabīrinā. wa dhakarinā wa unthānā. Allāhumma man aḥyaytahu minnāfa aḥyihi `ala ‘l-Islām. wa man tawaffaytahu minnāfatawaffahu `alal-īmān. Allāhumma lā taḥrimnā ajrahwa lā tuḍillanā ba`dah.","O Allah forgive our living and our dead, those who are with us and those who are absent, our young and our old, our menfolk and our womenfolk. O Allah, whomever you give life from among us give him life in Islam, and whomever you take away from us take him away in Faith. O Allah, do not forbid us their reward and do not send us astray after them.","Reference:Ibn Majah 1/480, Ahmad 2/368. See also Al-Albani, Sahih Ibn Majah 1/251.Hisnul Muslim 157"
Uncategorized,N/A,اللهُـمِّ إِنَّ فُلانَ بْنَ فُلانٍ في ذِمَّـتِك  وَحَبْـلِ جِـوارِك  فَقِـهِ مِنْ فِتْـنَةِ الْقَـبْرِ وَعَذابِ النّـار  وَأَنْتَ أَهْلُ الْوَفـاءِ وَالْـحَقِّ  فَاغْفِـرْ لَهُ وَارْحَمْـهُ  إِنَّكَ أَنْتَ الغَـفورُ الـرَّحيم,Allāhumma inna [name the person] fī dhimmatik. wa ḥabli jiwārik. faqihi min fitnati ‘l-qabri wa `adhābin-nār. wa anta ahlu ‘l-wafā'i wa ‘l-ḥaqq. Faghfir lahu warḥamhinnaka anta ‘l-Ghafūrur-Raḥīm.,"O Allah, surely [name the person] is under Your protection, and in the rope of Your security, so save him from the trial of the grave and from the punishment of the Fire. You fulfill promises and grant rights, so forgive him and have mercy on him. Surely You are Most Forgiving, Most Merciful.","Reference:Ibn Majah, Abu Dawud 3/211. See also Al Albani, Sahih Ibn Majah 1/251.Hisnul Muslim 158"
Uncategorized,N/A,اللهُـمِّ عَبْـدُكَ وَابْنُ أَمَـتِك احْتـاجَ إِلى رَحْمَـتِك وَأَنْتَ غَنِـيٌّ عَنْ عَذابِـه إِنْ كانَ مُحْـسِناً فَزِدْ في حَسَـناتِه وَإِنْ كانَ مُسـيئاً فَتَـجاوَزْ عَنْـه,Allāhumma `abduka wabnu 'amatikiḥtāja ilā raḥmatik. wa anta ghaniyyun `an `adhābih. in kāna muḥsinan fazid fī ḥasanātih. wa in kāna musī'an fatajāwaz `anh.,"O Allah, Your male slave and the child of Your female slave is in need of Your mercy, and You are not in need of his torment. If he was pious then increase his rewards and if he was a transgressor then pardon him.","Reference:Al-Hakim 1/359 who graded it authentic and Ath-Thahabi agreed with him. See also Al-Albani, Ahkamul-Jana'iz, p. 125.Hisnul Muslim 159"
"Chapter 56: When the deceased is a child, during the funeral prayer",2 du'as,'اللهم أعذه من عذاب القبر ' وإن قال: 'اللهم اجعله فرطاً وذخراً لوالديه  وشفيعاً مجاباً . اللهم ثقل به موازينها وأعظم به أجورهما  وألحقهُ بصالح المؤمنين  واجعلهُ في كفالة إبراهيم  وقه برحمتك عذاب الجحيم  وأبدله داراً خيراً من داره  وأهلاً خيراً من أهله  اللهم اغفر لاسلافنا  وأفراطنا  ومن سبقنا بالإيمان ' فحسن,Allāhumma a`idh’hu min `adhābi ‘l-qabr[or say:] Allāhumma ‘j`alhu faraṭan wa dhukhran liwālidayh. wa shafī`an mujāban. Allāhumma thaqqil bihi mawāzīnahumāwa a`ẓim bihi ujūrahumā. wa alḥiqhu biṣāliḥi ‘l-mu'minīn. waj`alhu fī kafālati Ibrāhīm. wa qihi biraḥmatika `adhāba ‘l-jaḥīm. wa abdilhu dāran khayran min dārih. wa ahlan khayran min ahlih. Allāhumma’ghfir li aslāfinā wa afrāṭināwa man sabaqanā bil īmān.,"O Allah, protect him from the torment of the grave.[It is also good to say:] O Allah, make him a precursor, a forerunner and a treasure for his parents and an answered intercessor. O Allah, make him weigh heavily in their scales (of good) and magnify their reward. Make him join the righteous of the believers. Place him in the care of Ibrahim. Save him by Your mercy from the torment of Hell. Give him a home better than his home, and a family better than his family. O Allah, forgive those who have gone (i. e. passed away) before us, our children lost (by death), and those who have preceded us in Faith.","Reference:Ibn Qudamah, Al-Mughni 3/416 and Ad-Duroosul-Muhimmah li-Aammatil-'Ummah, pg. 15, by Shaikh 'Abdul-'Aziz bin Baz.Hisnul Muslim 160"
Uncategorized,N/A,اللهُـمِّ اجْعَلْـهُ لَنا فَرَطـاً وَسَلَـفاً وَأَجْـراً,"Allāhumma’j`alhu lanā faraṭan, wa salafan, wa ajra.","O Allah, make him for us a precursor, a forerunner and a cause of reward.","Reference:Al-Hasan (Al-Basri) used to recite Surat Al-Fatihah for a child's funeral and then say this. Al-Bukhari, Kitabul-Jana'iz, p. 65.Hisnul Muslim 161"
Chapter 57: Condolence,1 du'a,'إن لله ما أخذ وله ما أعطى . وكل شيء عنده بأجل مُسمى ... فلتصبر ولتحتسب ' وإن قال : 'أعظم الله أجرك  وأحسن عزاءك وغفر لميتك' فحسن,Inna lillāhi mā akhadh. wa lahu mā a`tā. wa kullu shay'in `indahu bi ajalin musammā... faltaṣbir wa ‘l-taḥtasib.[Also good to say:]A`ẓamallāhu ajrak. wa 'aḥsana `azā'ak. wa ghafara limayyitik.,"Surely, Allah takes what is His, and what He gives is His, and to all things He has appointed a time... so have patience and be rewarded.1 May Allah magnify your reward, and make perfect your bereavement, and forgive your departed.2","Reference:1 Al-Bukhari 2/80, Muslim 2/636. 2An-Nawawi, Kitabul-'Athkar, p. 126.Hisnul Muslim 162"
Chapter 58: Placing the deceased in the grave,1 du'a,بِسْـمِ اللهِ وَعَلـى سُـنَّةِ رَسـولِ الله,Bismillāhwa `alā sunnati Rasūlillāh.,"With the Name of Allah, and according to the Sunnah of the Messenger of Allah.","Reference:Abu Dawud 3/314 with an authentic chain. Ahmad also recorded it with the wording: With the Name of Allah, and according to the religion of the Messenger of Allah. Its chain is also authentic.Hisnul Muslim 163"
Chapter 59: After burying the deceased,1 du'a,اللَّهُمَّ اغْفِرْ لَهُ اللَّهُمَّ ثَبِّتْهُ,Allāhumma’ghfir lahAllāhumma thabbit’h.,"O Allah, forgive him. O Allah, strengthen him.","Reference:The Prophet (ﷺ) used to stop after burying the dead and say to the people: ""Ask Allah to forgive your brother and pray for him to be strengthened, for indeed he is now being questioned."" Abu Dawud 3/315, and Al-Hakim 1/370 who graded it authentic and Ath-Thahabi agreed.Hisnul Muslim 164"
Chapter 60: Visiting the graves,1 du'a,السَّلامُ عَلَـيْكُمْ أَهْلَ الدِّيارِ مِنَ المؤْمِنيـنَ وَالْمُسْلِمين وَإِنّا إِنْ شاءَ اللهُ بِكُـمْ لاحِقـون نَسْـاَلُ اللهَ لنـا وَلَكُـمْ العـافِيَة,Assalāmu `alaykum ahlad-diyāri minal-mu'minīna wa ‘l-muslimīn. wa innā in shā' Allāhu bikum lāḥiqūnnas'alullāha lanā wa lakumul-`āfiyah.,"Peace be upon you, people of this abode, from among the believers and those who are Muslims, and we, by the Will of Allah, shall be joining you.[May Allah have mercy on the first of us and the last of us] I ask Allah to grant us and you well-being.","Reference:Muslim 2/671, Ibn Majah 1/494, the portion brackets is from Muslim 2/671.Hisnul Muslim 165"
Chapter 61: During a wind storm,2 du'as,اللّهُـمَّ إِنَّـي أَسْـأَلُـكَ خَيْـرَها وَأَعـوذُ بِكَ مِنْ شَـرِّها,Allāhumma innī as'aluka khayrahā. wa a`ūdhu bika min sharrihā.,"O Allah, I ask You for the good of it, and seek refuge in You against its evil.","Reference:Abu Dawud 4/326, Ibn Majah 2/1228. See also Al-Albani, Sahih Ibn Majah 2/305.Hisnul Muslim 166"
Uncategorized,N/A,اللّهُـمَّ إِنَّـي أَسْـأَلُـكَ خَيْـرَها وَخَيْـرَ ما فيهـا وَخَيْـرَ ما اُرْسِلَـتْ بِه وَأَعـوذُ بِكَ مِنْ شَـرِّها وَشَـرِّ ما فيهـا وَشَـرِّ ما اُرْسِلَـتْ بِه,Allāhumma innī as'aluka khayrahā. wa khayra mā fīhā. wa khayra mā ursilat bih. wa a`ūdhu bika min sharrihā. wa sharri mā fīhā. wa sharri mā ursilat bih.,"O Allah, I ask You for the good of it, for the good of what it contains, and for the good of what is sent with it. I seek refuge in You from the evil of it, from the evil of what it contains, and from the evil that is sent with it.","Reference:Muslim 2/616, Al-Bukhari 4/76.Hisnul Muslim 167"
Chapter 62: Upon hearing thunder,1 du'a,سُبْـحانَ الّذي يُسَبِّـحُ الـرَّعْدُ بِحَمْـدِهِ وَالملائِكـةُ مِنْ خيـفَته,Subḥāna ‘l-ladhī yusabbiḥur-ra`du bi ḥamdihiwa ‘l-malā'ikatu min khīfatih.,Glory is to Him Whom thunder and angels glorify due to fear of Him.,"Reference:Whenever Abdullah bin Zubair (RA) would hear thunder, he would abandon all conversation and say this supplication. See Al-Muwatta' 2/992. It was graded authentic by Al-Albani as a statement of Abdullah bin Zubayr only.Hisnul Muslim 168"
Chapter 63: For rain,3 du'as,اللّهُمَّ اسْقِـنا غَيْـثاً مُغيـثاً مَريئاً مُريـعاً نافِعـاً غَيْـرَ ضار عاجِـلاً غَـيْرَ آجِل,"Allāhumma ‘asqinā ghaythan mughīthan marī'an murī`a, nāfi`an ghayra ḍārr, `ājilan ghayra ājil.","O Allah, shower upon us abundant rain, beneficial not harmful, swiftly and not delayed.",Reference:Abu Dawud 1/303. See also Al-Albani SahihAbu Dawud 1/216.Hisnul Muslim 169
Uncategorized,N/A,اللّهُمَّ أغِثْنـا اللّهُمَّ أغِثْنـا اللّهُمَّ أغِثْنـا,"Allāhumma aghithnā, Allāhumma aghithnā, Allāhumma aghithnā.","O Allah, send us rain. O Allah, send us rain. O Allah, send us rain.","Reference:Al-Bukhari 1/224, Muslim 2/613.Hisnul Muslim 170"
Uncategorized,N/A,اللّهُمَّ اسْقِ عِبادَكَ وَبَهـائِمَك وَانْشُـرْ رَحْمَـتَكَ وَأَحْيِي بَلَـدَكَ المَيِّـت,Allāhumma’sqi `ibādaka wa bahā'imak. wanshur raḥmatak. wa aḥyi baladaka ‘l-mayyit,"O Allah, give water to Your slaves, and Your livestock, and spread Your mercy, and revive Your dead land.",Reference:Abu Dawud 1/305. Al-Albani graded it good in Sahih Abu Dawud 1/218.Hisnul Muslim 171
Chapter 64: When it rains,1 du'a,اللّهُمَّ صَيِّـباً نافِـعاً,Allāhumma ṣayyiban nāfi`a.,"O Allah, (bring) beneficial rain clouds.","Reference:Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 2/518.Hisnul Muslim 172"
